,participant_id,bigram,iki_ms_mean,iki_ms_std,keystroke_count,coeff_var
2153,5360, w,261.1666666666667,111.42289085309449,12,0.42663519152429286
2154,5360, y,199.5,105.63474807088811,6,0.5294974840646021
2161,5360,BKSPBKSP,401.9,342.426131531394,10,0.8520182421781388
2207,5360,an,132.25,50.533581479476176,8,0.3821064762153208
2222,5360,d ,139.42857142857142,40.23620733807277,7,0.2885793559083088
2228,5360,e ,140.46428571428572,59.985481047566296,28,0.4270514796165411
2239,5360,er,219.77777777777777,281.37376289278365,9,1.280264846327125
2256,5360,ha,116.71428571428571,38.86178193595985,7,0.3329650839066327
2257,5360,he,154.33333333333334,97.06698717895802,9,0.6289437614187344
2266,5360,in,122.0,27.346541524173283,13,0.22415197970633838
2269,5360,is,115.375,41.62395429831927,8,0.3607710015022255
2290,5360,me,154.16666666666666,45.68770804786192,6,0.29635270085099624
2294,5360,n ,136.66666666666666,43.40218888489381,9,0.31757699184068644
2299,5360,ne,128.33333333333334,26.658332030842942,6,0.20772726257799692
2300,5360,ng,160.0,59.565090447341724,8,0.3722818152958858
2314,5360,on,136.88888888888889,142.26510855129274,9,1.039274331949379
2316,5360,or,111.77777777777777,17.94977560986333,9,0.16058447364688866
2318,5360,ou,129.66666666666666,20.32240143290157,9,0.1567280316162075
2325,5360,r ,224.42857142857142,138.19895940618505,7,0.6157814868512383
2329,5360,re,163.5,141.61312713790971,10,0.8661353341768179
2336,5360,s ,174.5,110.63277593512291,10,0.6339987159605898
2346,5360,t ,299.42857142857144,455.52857837273586,7,1.5213263590692514
2353,5360,th,75.0,22.847319317591726,9,0.30463092423455634
2376,5360,y ,160.66666666666666,60.314730096939556,6,0.3754028844207856
2377,5360,yo,88.16666666666667,21.985601348761573,6,0.24936409847366622
2381,5572, SHIFT,143.83333333333334,27.578373169327207,6,0.19173839978674767
2382,5572, a,111.82352941176471,44.03583099891162,17,0.39379754181036164
2386,5572, f,123.83333333333333,39.61523276047569,6,0.3199076669755776
2389,5572, i,113.28571428571429,33.519717012102426,7,0.29588653100216517
2393,5572, o,136.55555555555554,64.29640563653444,9,0.47084430490545975
2397,5572, s,183.5,131.57773367861296,6,0.7170448701831769
2398,5572, t,120.8125,89.75389963672887,16,0.7429189830251743
2399,5572, w,99.33333333333333,32.51153641401772,9,0.3272973464498428
2400,5572, y,183.125,96.65466879566657,8,0.5278070650957901
2405,5572,. ,61.77777777777778,19.363482239629434,9,0.31343766215227503
2412,5572,BKSPBKSP,222.4318181818182,227.50899780083043,44,1.0228257794254152
2465,5572,an,106.42857142857143,13.327379623131007,7,0.12522370115693562
2467,5572,ar,91.625,19.093286030135605,8,0.20838511356218942
2490,5572,d ,75.28571428571429,18.245677896552976,7,0.2423524578289769
2495,5572,e ,87.32142857142857,50.36831276920968,28,0.5768150337578205
2507,5572,er,87.33333333333333,18.084984563628097,6,0.20707997591940572
2511,5572,f ,104.66666666666667,29.330302873762943,6,0.2802258236346778
2525,5572,ha,88.85714285714286,27.942969130168038,7,0.3144707136835631
2526,5572,he,71.44444444444444,16.08657134935154,9,0.2251619628991662
2542,5572,in,169.0,181.18609218149172,11,1.0721070543283533
2548,5572,l ,54.857142857142854,24.320283519650637,7,0.4433385016602981
2552,5572,li,85.66666666666667,27.442060175334266,6,0.32033533278600307
2562,5572,n ,104.9,85.24402879055192,10,0.8126218187850517
2573,5572,o ,82.33333333333333,25.508168626278653,6,0.30981581327463953
2580,5572,on,88.625,27.830802565297528,8,0.3140288018651343
2584,5572,ou,79.72727272727273,11.782112790929384,11,0.14778020604358405
2594,5572,r ,90.0,19.294706898155106,8,0.2143856322017234
2610,5572,s ,96.66666666666667,16.609234379304382,6,0.17181966599280396
2618,5572,st,96.5,22.412050330123744,6,0.2322492262188989
2621,5572,t ,103.58333333333333,30.350852416764884,12,0.29300903379016785
2627,5572,th,86.33333333333333,21.0,9,0.24324324324324326
2632,5572,to,93.83333333333333,52.20504445613151,6,0.5563592659623252
2645,5572,ur,97.33333333333333,70.05902273559536,6,0.7197844801602263
2662,5823, BKSP,505.8333333333333,210.44943969197607,6,0.41604502080786043
2663,5823, SHIFT,451.8,365.97583839061605,15,0.8100394829362905
2664,5823, a,307.75,199.57150526637244,8,0.6484858010280177
2671,5823, h,443.5,155.46414377598455,6,0.3505392193370565
2672,5823, i,429.2857142857143,170.09185193664655,7,0.3962206201519221
2677,5823, o,567.5,309.5079043532537,8,0.5453883777149845
2681,5823, t,493.0833333333333,311.6549544064086,12,0.632053312975647
2683,5823, w,612.125,228.60036089210357,8,0.3734537241447475
2696,5823,BKSPBKSP,280.53333333333336,199.0756735754618,15,0.7096328668326822
2785,5823,d ,162.0,24.750180374523104,8,0.1527788912007599
2792,5823,e ,150.8846153846154,36.88937724936752,26,0.24448733328665703
2802,5823,en,270.0,151.69179279051323,6,0.5618214547796786
2805,5823,es,348.6666666666667,176.25965694584414,6,0.5055248287165701
2822,5823,he,235.41666666666666,341.16363931093065,12,1.4491906802588206
2834,5823,in,337.0,272.69291991437655,8,0.8091778039002271
2836,5823,it,561.1428571428571,524.1810846680845,7,0.9341312608647128
2854,5823,n ,200.5,18.07128740769258,8,0.09013110926529964
2866,5823,o ,181.875,23.32036204080643,8,0.1282219218738498
2880,5823,ou,286.375,167.40791711948904,8,0.5845758781998744
2884,5823,pe,214.0,45.51483274713859,6,0.2126861343324233
2889,5823,r ,164.75,41.643898541254345,8,0.2527702491123177
2892,5823,re,227.33333333333334,54.4046566634389,6,0.2393166715400538
2898,5823,s ,170.15384615384616,50.340252538510626,13,0.2958513937615905
2906,5823,t ,159.5,42.03399984366397,8,0.26353604917657664
2916,5823,to,115.28571428571429,19.635972819583667,7,0.17032442346602933
2951,6308, SHIFT,160.42857142857142,125.12774424943647,7,0.7799592250632729
